split,image,class_id,w_norm,h_norm,w_px,h_px,min_wh_threshold,line
train2,100_1364.jpg,0,0.009766,0.045898,10.0,47.0,0.015,0 0.995117 0.749512 0.009766 0.045898
train2,100_2003.jpg,0,0.045898,0.014648,47.0,15.0,0.015,0 0.433105 0.883301 0.045898 0.014648
train2,100_2043.jpg,0,0.013086,0.033496,13.4,34.3,0.015,0 0.993457 0.091455 0.013086 0.033496
train2,100_6993.jpg,0,0.011719,0.038086,12.0,39.0,0.015,0 0.994141 0.896973 0.011719 0.038086
train2,100_7431.jpg,0,0.014648,0.035156,15.0,36.0,0.015,0 0.007324 0.093750 0.014648 0.035156
train2,101_2014.jpg,0,0.046875,0.014648,48.0,15.0,0.015,0 0.470703 0.882324 0.046875 0.014648
train2,101_7259.jpg,0,0.038086,0.011719,39.0,12.0,0.015,0 0.371582 0.886719 0.038086 0.011719
train2,102_2160.jpg,0,0.032227,0.006836,33.0,7.0,0.015,0 0.183105 0.898926 0.032227 0.006836
train2,102_2193.jpg,0,0.033203,0.009766,34.0,10.0,0.015,0 0.162109 0.899414 0.033203 0.009766
train2,103_3628.jpg,0,0.010938,0.053320,11.2,54.6,0.015,0 0.994531 0.665527 0.010938 0.053320
train2,104_1202.jpg,0,0.013184,0.055664,13.5,57.0,0.015,0 0.993408 0.440039 0.013184 0.055664
train2,104_1202.jpg,0,0.012500,0.054688,12.8,56.0,0.015,0 0.993750 0.422754 0.012500 0.054688
train2,104_1585.jpg,0,0.013672,0.048828,14.0,50.0,0.015,0 0.013672 0.661133 0.013672 0.048828
train2,104_1645.jpg,0,0.012695,0.051758,13.0,53.0,0.015,0 0.014160 0.637207 0.012695 0.051758
train2,104_812.jpg,0,0.003906,0.030273,4.0,31.0,0.015,0 0.002930 0.233887 0.003906 0.030273
train2,104_982.jpg,0,0.013672,0.041016,14.0,42.0,0.015,0 0.993164 0.732422 0.013672 0.041016
train2,105_3270.jpg,0,0.049805,0.006836,51.0,7.0,0.015,0 0.758301 0.895020 0.049805 0.006836
train2,105_3270.jpg,0,0.046875,0.004883,48.0,5.0,0.015,0 0.633789 0.890137 0.046875 0.004883
train2,105_5944.jpg,0,0.014648,0.047852,15.0,49.0,0.015,0 0.007324 0.818848 0.014648 0.047852
train2,106_3953.jpg,0,0.014453,0.063379,14.8,64.9,0.015,0 0.014063 0.368115 0.014453 0.063379
train2,106_3993.jpg,0,0.010742,0.041016,11.0,42.0,0.015,0 0.012207 0.668945 0.010742 0.041016
train2,106_6135.jpg,0,0.007812,0.045898,8.0,47.0,0.015,0 0.003906 0.178223 0.007812 0.045898
train2,106_7938.jpg,0,0.043945,0.005859,45.0,6.0,0.015,0 0.546387 0.886719 0.043945 0.005859
train2,111_2548.jpg,0,0.013672,0.040039,14.0,41.0,0.015,0 0.006836 0.093262 0.013672 0.040039
train2,112_2995.jpg,0,0.010742,0.034180,11.0,35.0,0.015,0 0.014160 0.631348 0.010742 0.034180
train2,117_5806.jpg,0,0.005859,0.050781,6.0,52.0,0.015,0 0.997070 0.305664 0.005859 0.050781
train2,118_5802.jpg,0,0.007812,0.045898,8.0,47.0,0.015,0 0.996094 0.351074 0.007812 0.045898
train2,119_1050.jpg,0,0.012695,0.038086,13.0,39.0,0.015,0 0.993652 0.308105 0.012695 0.038086
train2,119_7027.jpg,0,0.043945,0.007812,45.0,8.0,0.015,0 0.433105 0.886719 0.043945 0.007812
train2,120_3116.jpg,0,0.013672,0.040039,14.0,41.0,0.015,0 0.993164 0.126465 0.013672 0.040039
train2,121_3140.jpg,0,0.012695,0.041016,13.0,42.0,0.015,0 0.993652 0.145508 0.012695 0.041016
train2,122_5175.jpg,0,0.050781,0.013672,52.0,14.0,0.015,0 0.365234 0.885742 0.050781 0.013672
train2,122_9947.jpg,0,0.055664,0.011719,57.0,12.0,0.015,0 0.196777 0.896484 0.055664 0.011719
train2,123_10161.jpg,0,0.050781,0.010742,52.0,11.0,0.015,0 0.577148 0.885254 0.050781 0.010742
train2,123_3238.jpg,0,0.012695,0.044922,13.0,46.0,0.015,0 0.993652 0.130859 0.012695 0.044922
train2,123_5666.jpg,0,0.044922,0.014648,46.0,15.0,0.015,0 0.676758 0.887207 0.044922 0.014648
train2,129_3390.jpg,0,0.030273,0.010742,31.0,11.0,0.015,0 0.016113 0.911621 0.030273 0.010742
train2,129_3390.jpg,0,0.047852,0.014648,49.0,15.0,0.015,0 0.098145 0.902832 0.047852 0.014648
train2,130_1443.jpg,0,0.011719,0.054688,12.0,56.0,0.015,0 0.411133 0.126953 0.011719 0.054688
train2,131_1523.jpg,0,0.007812,0.037109,8.0,38.0,0.015,0 0.319336 0.115234 0.007812 0.037109
train2,132_373.jpg,0,0.055664,0.003906,57.0,4.0,0.015,0 0.781738 0.898438 0.055664 0.003906
train2,132_373.jpg,0,0.036133,0.002930,37.0,3.0,0.015,0 0.818848 0.900879 0.036133 0.002930
train2,132_373.jpg,0,0.031250,0.005859,32.0,6.0,0.015,0 0.753906 0.894531 0.031250 0.005859
train2,132_376.jpg,0,0.031250,0.008789,32.0,9.0,0.015,0 0.758789 0.894043 0.031250 0.008789
train2,134_328.jpg,0,0.035156,0.012695,36.0,13.0,0.015,0 0.178711 0.896973 0.035156 0.012695
train2,135_2017.jpg,0,0.054688,0.000977,56.0,1.0,0.015,0 0.996094 0.913574 0.054688 0.000977
train2,135_2021.jpg,0,0.060547,0.010742,62.0,11.0,0.015,0 0.916016 0.905762 0.060547 0.010742
train2,135_2071.jpg,0,0.057617,0.010742,59.0,11.0,0.015,0 0.571777 0.885254 0.057617 0.010742
