epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1056.19,2.24956,2.44097,0.00491,0.44178,0.41105,0.37262,0.12224,2.20584,2.56536,0.00501,0.00166588,0.00166588,0.0683483
2,3703.81,2.12092,2.00725,0.00459,0.41962,0.40447,0.33681,0.10806,2.1381,2.45088,0.00477,0.00330255,0.00330255,0.0366517
3,4746.07,2.08699,1.91306,0.00447,0.51737,0.46962,0.46299,0.16131,2.09508,2.49311,0.00466,0.00490922,0.00490922,0.00492502
4,6826.6,2.04785,1.86208,0.00434,0.62196,0.50988,0.57522,0.22316,1.96516,1.93163,0.0043,0.004865,0.004865,0.004865
5,9191.89,2.01594,1.77084,0.0043,0.5219,0.5205,0.48935,0.1807,1.96879,1.91336,0.00429,0.00482,0.00482,0.00482
6,10917,1.98203,1.73375,0.00419,0.51189,0.43228,0.45979,0.17777,1.94931,2.28044,0.00427,0.004775,0.004775,0.004775
7,12966.4,1.98556,1.65554,0.00416,0.69053,0.53367,0.60078,0.22184,1.99344,2.14996,0.00434,0.00473,0.00473,0.00473
8,15427.7,1.96229,1.64352,0.00416,0.62974,0.52086,0.56488,0.20807,1.98996,1.99091,0.00433,0.004685,0.004685,0.004685
9,17168.3,1.95433,1.59023,0.00415,0.57339,0.46098,0.50011,0.18302,2.04254,2.05374,0.00447,0.00464,0.00464,0.00464
10,18691.2,1.92145,1.57809,0.00405,0.63766,0.51468,0.55592,0.20238,1.95833,2.07436,0.00427,0.004595,0.004595,0.004595
11,20575.8,1.90758,1.52233,0.00403,0.72139,0.53734,0.62649,0.22941,1.94588,1.84473,0.00426,0.00455,0.00455,0.00455
12,22102.3,1.92775,1.51492,0.00406,0.64233,0.4817,0.55177,0.21166,1.94306,2.10749,0.00426,0.004505,0.004505,0.004505
13,24066.8,1.90052,1.47805,0.00396,0.67725,0.52013,0.59375,0.22572,1.94322,1.81128,0.00421,0.00446,0.00446,0.00446
14,26781.8,1.89089,1.47801,0.00392,0.68373,0.53075,0.59619,0.21842,1.97502,1.89315,0.0043,0.004415,0.004415,0.004415
15,28499.4,1.90383,1.40602,0.00397,0.60884,0.48646,0.54337,0.21447,1.96781,1.95584,0.00427,0.00437,0.00437,0.00437
16,30382,1.90147,1.3898,0.00395,0.63595,0.49378,0.55302,0.20599,1.95941,1.95362,0.00425,0.004325,0.004325,0.004325
17,33320,1.88544,1.38947,0.0039,0.69327,0.4757,0.5401,0.201,1.95418,2.01137,0.00423,0.00428,0.00428,0.00428
18,35027.6,1.88102,1.35675,0.00389,0.69384,0.53184,0.60356,0.22836,1.96319,1.86108,0.00423,0.004235,0.004235,0.004235
19,36975.5,1.85267,1.36517,0.00384,0.6772,0.50037,0.57672,0.2161,1.96958,1.96259,0.0043,0.00419,0.00419,0.00419
20,39239.8,1.85269,1.33306,0.00386,0.68918,0.5205,0.58394,0.21381,1.98915,1.88185,0.00432,0.004145,0.004145,0.004145
21,41582.8,1.85106,1.29736,0.00384,0.74071,0.57301,0.65044,0.24746,1.94926,1.78535,0.00425,0.0041,0.0041,0.0041
22,43004.5,1.85216,1.28648,0.00385,0.75928,0.56479,0.64742,0.23897,1.95995,1.76488,0.00426,0.004055,0.004055,0.004055
23,44813,1.85631,1.27982,0.00386,0.74607,0.59261,0.6639,0.24987,1.97057,1.71788,0.00429,0.00401,0.00401,0.00401
24,45921.1,1.82312,1.26253,0.00376,0.65584,0.51128,0.56296,0.20593,2.00056,1.88804,0.00436,0.003965,0.003965,0.003965
25,48098.7,1.82973,1.26992,0.0038,0.74345,0.58053,0.64182,0.23942,1.97011,1.7364,0.00427,0.00392,0.00392,0.00392
26,49713.6,1.82424,1.20319,0.00377,0.74793,0.59734,0.64822,0.23547,2.02688,1.76724,0.0044,0.003875,0.003875,0.003875
27,51501.8,1.81978,1.21341,0.00379,0.74227,0.56881,0.63899,0.24447,1.94731,1.8047,0.00424,0.00383,0.00383,0.00383
28,54061.8,1.82901,1.23448,0.00376,0.70251,0.53221,0.59921,0.22446,2.00816,1.82403,0.00439,0.003785,0.003785,0.003785
29,56007.2,1.82329,1.16876,0.00378,0.73766,0.55051,0.62936,0.24335,1.98824,1.82515,0.00434,0.00374,0.00374,0.00374
30,58651.2,1.84479,1.17134,0.00377,0.75482,0.55198,0.62716,0.23158,1.97536,1.79361,0.00428,0.003695,0.003695,0.003695
31,62660.4,1.82334,1.16085,0.00379,0.75434,0.58199,0.6521,0.25022,1.98718,1.73881,0.00431,0.00365,0.00365,0.00365
32,66158.2,1.81535,1.13608,0.00376,0.71398,0.58199,0.64265,0.23443,2.02526,1.71416,0.0044,0.003605,0.003605,0.003605
