epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,196.303,3.0671,6.71173,1.24488,0.00311,0.08471,0.00123,0.0004,3.01067,4.72993,1.1838,0.00998905,0.00332968,0.00998905,0.00332968,0.00998905,0.00332968,0.00998905,0.00332968
2,353.233,2.82092,4.82275,1.12745,0.00291,0.11071,0.00228,0.00074,3.07628,5.17684,1.23473,0.0195933,0.00653109,0.0195933,0.00653109,0.0195933,0.00653109,0.0195933,0.00653109
3,500.837,2.81204,3.89081,1.12697,0.00172,0.07443,0.00013,4e-05,3.27938,5.87328,1.23193,0.0288015,0.00960049,0.0288015,0.00960049,0.0288015,0.00960049,0.0288015,0.00960049
4,643.441,2.77739,3.3012,1.12022,0.00319,0.14478,0.00157,0.0005,2.87775,5.29308,1.18474,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,786.11,2.68975,2.9884,1.10551,0.00774,0.13419,0.00171,0.00052,2.93758,5.66499,1.18312,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,927.361,2.63772,2.75607,1.09111,0.00424,0.15493,0.00229,0.00071,2.99505,5.6444,1.21607,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,1070.94,2.60239,2.62639,1.07442,0.00616,0.13652,0.00222,0.00075,2.94277,5.44759,1.18977,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,1215.72,2.56967,2.52605,1.06553,0.00497,0.13617,0.00298,0.00099,2.90345,5.6847,1.18205,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,1361.07,2.5431,2.44049,1.05807,0.0061,0.14953,0.00261,0.00097,3.00711,5.78993,1.19295,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,1502.97,2.51333,2.34042,1.04753,0.00554,0.12344,0.00161,0.00045,2.95624,5.86158,1.17593,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,1644.41,2.46794,2.24667,1.03925,0.59712,0.00597,0.00504,0.00225,2.86953,5.88985,1.17734,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,1785.45,2.46532,2.19323,1.03848,0.00377,0.11037,0.0012,0.0004,2.96304,5.9334,1.18114,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,1926.31,2.44859,2.14254,1.0338,0.00589,0.12306,0.00183,0.00061,2.91097,5.7025,1.17195,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,2067.02,2.41925,2.09243,1.02575,0.00731,0.10584,0.00171,0.00064,2.98997,6.04044,1.17791,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,2207.61,2.39894,2.03353,1.02481,0.0037,0.11441,0.00212,0.00091,3.0137,5.90306,1.18751,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,2348.24,2.36013,1.98832,1.02149,0.00439,0.09254,0.00128,0.00046,3.01328,5.98413,1.19111,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,2488.89,2.35844,1.9677,1.01456,0.0047,0.12607,0.0041,0.00209,2.94275,6.03215,1.17308,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,2629.75,2.34153,1.93279,1.01348,0.42262,0.00618,0.00493,0.00254,2.97119,6.07209,1.18767,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,2770.36,2.33706,1.91454,1.00655,0.00505,0.10622,0.00344,0.00152,2.96467,6.11108,1.18733,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,2911.06,2.34245,1.90112,1.011,0.28516,0.00732,0.00359,0.00167,2.94655,6.02637,1.17482,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,3051.94,2.29513,1.84145,0.99931,0.00666,0.10613,0.0036,0.00167,2.88275,5.86863,1.16911,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,3192.72,2.27354,1.81545,1.00144,0.00511,0.09083,0.00206,0.00098,2.99853,6.26797,1.19251,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,3333.09,2.27068,1.79528,0.9929,0.00555,0.08581,0.00334,0.00157,2.95682,6.16403,1.181,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,3475.21,2.26326,1.78573,0.99364,0.00418,0.07741,0.00142,0.00043,2.97509,6.17262,1.18414,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,3616.15,2.24521,1.75838,0.98988,0.0051,0.07602,0.00153,0.0005,2.98923,6.2784,1.18861,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,3757.04,2.23268,1.73651,0.98683,0.00526,0.08178,0.00112,0.00039,2.96424,6.25383,1.18752,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,3897.57,2.21769,1.71262,0.9842,0.00441,0.07147,0.00082,0.00027,2.99988,6.34187,1.19327,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,4037.97,2.20664,1.69074,0.98314,0.00502,0.06207,0.0009,0.00028,2.96385,6.38833,1.18579,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,4178.79,2.20162,1.68738,0.98018,0.0048,0.07313,0.00098,0.00033,3.00733,6.41818,1.19639,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,4319.47,2.21373,1.69398,0.98241,0.00514,0.06672,0.00132,0.00046,2.95767,6.45693,1.18452,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
