epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,181.611,3.02641,5.36234,1.24299,0.19269,0.05342,0.0168,0.00517,3.0453,3.8269,1.20656,0.00998905,0.00332968,0.00998905,0.00332968,0.00998905,0.00332968,0.00998905,0.00332968
2,320.358,2.81894,3.36978,1.13019,0.218,0.10373,0.03184,0.01088,2.82512,3.78526,1.17427,0.0195933,0.00653109,0.0195933,0.00653109,0.0195933,0.00653109,0.0195933,0.00653109
3,443.712,2.80277,2.81825,1.12353,0.35339,0.04424,0.00928,0.00287,2.95544,4.62514,1.2109,0.0288015,0.00960049,0.0288015,0.00960049,0.0288015,0.00960049,0.0288015,0.00960049
4,564.686,2.76796,2.61966,1.11942,0.20334,0.05333,0.01658,0.00535,2.88414,4.04194,1.19482,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,685.613,2.68567,2.43336,1.11051,0.20556,0.06972,0.01618,0.00535,2.87983,4.0459,1.19599,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,820.686,2.76608,2.9304,1.11218,0.51973,0.01804,0.00657,0.00172,3.71829,29.1666,1.37783,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,962.662,2.92172,3.76416,1.13993,0,0,0,0,3.33862,inf,13.9583,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,1087.19,3.48006,5.17489,1.27149,4e-05,0.00434,0,0,4.34548,9.2496,1.70834,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,1212,3.59625,5.99403,1.34107,0,0,0,0,5.2464,26.0776,2.91484,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,1335.87,3.74655,18.5632,1.45101,0,0,0,0,4.96099,18.0236,2.78442,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,1556.83,3.0378,4.23381,1.17446,0,0,0,0,3.33862,inf,13.9583,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,1815.93,3.69344,6.07699,1.35455,0,0,0,0,5.42349,102.878,4.3157,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,1935.79,3.65613,6.41006,1.34888,0,0,0,0,3.69561,4.18212,1.43876,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,2051.53,3.45421,6.83725,1.31911,0,0,0,0,4.03776,4.22262,1.70623,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,2167.75,3.40899,7.10221,1.30939,0,0,0,0,3.70884,4.09916,1.37018,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,2292.37,3.3888,7.25013,1.28759,0,0.00019,0,0,4.24797,4.18814,1.6711,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,2418.05,3.37245,7.09403,1.28292,0,0.0001,0,0,4.27764,78.1972,1.79472,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,2678.45,3.58922,30.3242,1.35691,4e-05,0.00154,0,0,3.73597,104.845,2.28314,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,2939.28,3.95562,94.7334,1.64362,1e-05,0.00089,0,0,4.02952,205.455,1.77311,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,3200.38,4.08157,85.4401,2.40307,0,0,0,0,4.09143,119.715,3.56435,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,3461.98,4.09448,93.0042,3.51706,2e-05,0.00224,0,0,4.09998,159.357,7.80184,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,3724.01,4.16835,85.7733,4.38052,1e-05,0.00012,0,0,4.00637,121.35,2.58263,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,3984.32,4.21634,78.3586,5.30509,0,0.00044,0,0,3.77009,23.073,3.74923,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,4245.48,4.18041,75.0888,6.27703,0,0,0,0,3.82363,164.566,3.46184,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,4506.16,4.19529,71.7251,7.65983,1e-05,0.00128,0,0,3.78204,93.2227,4.11761,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,4767.58,4.19137,84.1782,8.43234,9e-05,0.00839,1e-05,0,3.73238,144.107,6.36563,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,5028.52,4.23265,78.2799,9.68478,0,0,0,0,3.72402,86.5816,6.99,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,5288.13,4.23938,55.5022,9.31843,1e-05,0.01101,0,0,3.70683,81.9369,7.66118,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,5548.81,4.22484,59.6937,9.58815,0,5e-05,0,0,3.95176,100.777,5.6001,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,5809.52,4.24158,43.9446,11.0257,9e-05,0.00926,1e-05,0,3.7176,67.0026,9.78994,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,6069.77,4.22874,50.908,9.21533,4e-05,0.00449,0,0,3.72336,82.783,11.1249,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,6330.46,4.18959,56.9443,9.62048,0,0.00044,0,0,3.7364,84.5361,10.994,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,6591.59,4.18402,55.4183,10.4544,0,5e-05,0,0,3.7406,81.8972,11.7351,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,6851.66,4.19224,55.7812,12.1589,1e-05,0.0008,0,0,3.73954,86.505,12.972,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,7111.87,4.19111,56.0185,10.977,7e-05,0.00639,0,0,3.75341,84.8157,14.3466,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,7372.1,4.17599,43.8281,11.7764,0,0.0001,0,0,3.7346,67.3732,12.5293,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,7632.71,4.17006,40.2151,13.1526,0,5e-05,0,0,3.71662,83.9387,14.8983,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,7892.87,4.12742,42.4377,13.5607,6e-05,0.00369,0,0,3.76465,83.6899,16.8801,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,8154.49,4.13581,40.5656,12.8367,2e-05,0.00162,0,0,3.70661,75.763,15.8352,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,8416.94,4.12065,38.3569,13.3197,5e-05,0.00444,0,0,3.80228,84.3539,17.4042,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,8691.49,3.91935,42.0462,31.0097,0,0.00051,0,0,4.01861,80.4147,21.8596,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,8954.06,3.88853,47.1828,23.9225,0,0.00569,0,0,3.7121,81.6867,13.5306,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,9216.04,3.85782,44.5719,22.7519,1e-05,0.0008,0,0,3.7396,83.0381,12.8628,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,9476.48,3.86321,45.9688,20.1974,1e-05,0.00104,0,0,3.997,81.3059,13.2638,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,9737.07,3.84643,23.7803,16.7262,1e-05,0.00118,0,0,3.7006,5.36301,12.0889,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,9999.27,3.83547,24.2751,18.9463,1e-05,0.00072,0,0,3.96126,3.44308,9.16358,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,10257.9,3.81685,26.7245,17.1425,0,0.00029,0,0,3.65458,3.46812,9.31539,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,10519.6,3.83152,26.1759,16.741,0,0.00014,0,0,3.99145,3.60016,11.95,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,10781.2,3.82454,27.8046,16.2131,0,0.00012,0,0,3.84835,5.14748,11.8664,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,11042.3,3.81756,26.7494,14.8886,0,0.00012,0,0,3.75713,3.61116,9.64269,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
